24, 24
GR02,RK01 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02,TR01 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02,TR07 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02,RK01 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01
GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05 | GR02,RD05
GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04 | GR02,RD04
GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01 | GR02,SW01
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02,RK01 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02
GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02 | GR02,RK01
