24,24																							
GR02 |	GR02 |	GR02 |	SD10 |	SD06 |	SW01 |	RD34|	RD35 |	SW01 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SD06 |	SW01 |	RD05 |	PVMT |	RD05 |	PVMT |	RD05 |	SW01, RK01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	PVMT |	PVMT |	PVMT |	PVMT |	PVMT |	SW01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	SW01 |	SW01 |	RD22 |	RD03 |	SW01 |	SW01
GR02 |	GR02 |	GR02 |	GR02 |	GR02, TR06|	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02, TR03 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02, TR01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |
SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	RD34|	RD35 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	RD34|	RD35 |	SW01 |	SW01
RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD30 |	RD11 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD05 |	RD30 |	RD11 |	RD05 |	RD05 |
RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD22 |	RD03|	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD04 |	RD37 |	RD04 |	RD04 |	RD04 |
SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	RD34|	RD35 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01 |	SW01
GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02
GR02 |	GR02 |	GR02 |	GR02 |	GR02, TR07 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02
GR02, TR05 |	GR02 |	GR02 |	GR02 |	GR02 |	SW01 |	RD34|	RD35 |	SW01 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02 |	GR02
